queue_length,arrival_rate,departure_rate,time_of_day,is_bottleneck
5,3.27,1.45,15,FALSE
32,4.24,0.84,9,TRUE
3,6.25,4.35,8,FALSE
50,3.79,9.98,10,FALSE
26,0.96,3.15,11,FALSE
12,1.56,0.31,16,FALSE
29,3.78,0.89,11,TRUE
33,5.94,2.69,18,TRUE
6,5.34,0.2,15,FALSE
48,9.15,3.52,19,TRUE
39,9.82,7.82,12,TRUE
33,9.83,2.39,19,TRUE
34,5.14,8.84,12,FALSE
14,0.75,3.56,16,FALSE
38,8.81,5.85,19,TRUE
14,7.62,0.75,13,TRUE
8,1.44,4.49,21,FALSE
41,4.63,3.32,10,FALSE
1,8.9,6.96,11,FALSE
39,3.9,4.98,15,FALSE
41,3.25,1.35,17,TRUE
34,3.05,3.79,15,FALSE
41,8.12,8.22,19,FALSE
45,8.64,4.4,16,TRUE
29,6.27,1.75,7,TRUE
12,6.93,8.53,8,FALSE
1,9.03,3.12,9,FALSE
23,7.83,4.89,17,TRUE
49,8.47,6.33,18,TRUE
31,7.54,5.97,21,TRUE
33,6.04,9.88,10,FALSE
48,8.08,6.46,14,TRUE
26,7.65,1.53,14,TRUE
44,7.29,4.33,16,TRUE
5,0.11,5.89,16,FALSE
31,1.37,4.98,18,FALSE
33,9.39,5.41,14,TRUE
16,7.56,5.2,8,TRUE
3,0.23,2.23,9,FALSE
43,6.43,6.58,11,FALSE
2,0.59,0.25,21,FALSE
17,6.51,8.64,16,FALSE
19,3.12,9.57,21,FALSE
23,3.3,6.64,7,FALSE
28,3.84,9.64,9,FALSE
46,3.9,3.39,18,FALSE
44,8.26,4.62,16,TRUE
33,3.36,8.23,19,FALSE
17,1.85,9.56,8,FALSE
5,0.91,4.07,12,FALSE
30,2.98,6.94,18,FALSE
36,8.35,3.84,14,TRUE
25,9.4,5.75,10,TRUE
10,7.93,2.27,13,FALSE
22,3.57,1.74,12,TRUE
40,1.94,6.02,18,FALSE
26,5.55,4.72,20,FALSE
19,1.41,9.47,19,FALSE
18,9.95,2.59,8,TRUE
34,7.49,5.25,10,TRUE
43,5.37,3.93,19,FALSE
42,7.97,9.99,14,FALSE
34,7.59,8.49,12,FALSE
26,8.28,7.82,21,FALSE
22,5.4,3.23,19,TRUE
29,1.3,4.17,14,FALSE
28,6.64,7.35,18,FALSE
24,9.33,1.04,11,TRUE
49,3.82,6.13,16,FALSE
17,2.34,3.05,9,FALSE
18,9.47,0.62,20,TRUE
19,1.11,3.57,11,FALSE
1,1.95,5.86,16,FALSE
46,9.1,8.31,11,FALSE
28,0.14,8.61,14,FALSE
0,5.14,2.78,7,FALSE
40,8.8,8.1,20,FALSE
34,3.44,2.69,16,FALSE
47,4.43,1.41,12,TRUE
39,7.37,1.12,21,TRUE
43,0.9,4.87,16,FALSE
18,9.11,1.38,14,TRUE
39,2.23,4.47,21,FALSE
49,8.68,0.18,7,TRUE
33,2.83,2.46,12,FALSE
43,2.93,0.77,15,TRUE
49,1.56,1.26,20,FALSE
27,5.83,7.28,11,FALSE
25,0.13,7.17,20,FALSE
22,4.9,8.49,15,FALSE
18,2.89,10.0,18,FALSE
37,8.94,5.33,16,TRUE
20,0.32,3.79,14,FALSE
3,6.49,3.51,12,FALSE
13,2.71,1.66,17,FALSE
14,7.91,7.29,7,FALSE
1,4.57,2.69,18,FALSE
31,2.34,4.27,11,FALSE
41,5.41,4.37,11,FALSE
38,8.81,1.93,11,TRUE
46,8.76,6.96,13,TRUE
14,6.5,0.95,18,TRUE
5,2.97,9.89,8,FALSE
