counter_id,queue_length,status,processing_rate,delay,capacity,neighbor_counter_id,distance,reroute_capacity,is_connected
A,47,0,4.23,27,50,B,4.41,11,1
A,47,0,4.23,27,50,D,1.19,20,1
A,47,0,4.23,27,50,E,2.92,20,1
A,47,0,4.23,27,50,C,4.72,6,1
B,34,0,2,25,56,A,2.67,9,1
B,34,0,2,25,56,C,1.92,8,1
B,34,0,2,25,56,E,4.75,17,1
B,34,0,2,25,56,D,1.64,7,1
C,1,1,3.4,16,54,B,1.19,9,1
C,1,1,3.4,16,54,A,3.14,18,1
C,1,1,3.4,16,54,E,0.79,10,1
D,17,1,4.06,18,45,C,3.18,17,1
D,17,1,4.06,18,45,A,4.91,18,1
E,32,0,4.77,17,46,C,2.66,8,1
E,32,0,4.77,17,46,D,3.5,13,1
E,32,0,4.77,17,46,B,0.8,7,1
A,13,0,4.84,10,57,D,2.35,15,1
A,13,0,4.84,10,57,E,4.7,13,1
A,13,0,4.84,10,57,C,4.36,20,1
A,13,0,4.84,10,57,B,2.15,8,1
B,30,0,3.17,17,48,C,0.82,13,1
B,30,0,3.17,17,48,E,4.17,18,1
B,30,0,3.17,17,48,D,0.94,20,1
B,30,0,3.17,17,48,A,1.3,9,1
C,20,1,3.6,22,52,B,4.75,13,1
C,20,1,3.6,22,52,A,1.33,13,1
C,20,1,3.6,22,52,D,2.27,5,1
C,20,1,3.6,22,52,E,1.36,20,1
D,30,1,1.47,21,41,B,2.23,12,1
D,30,1,1.47,21,41,A,2.43,20,1
E,45,1,4.2,22,57,B,2.53,6,1
E,45,1,4.2,22,57,A,2.1,17,1
A,48,0,2.59,27,51,E,2.66,6,1
A,48,0,2.59,27,51,C,3.07,11,1
A,48,0,2.59,27,51,B,2.91,18,1
A,48,0,2.59,27,51,D,4.23,16,1
B,43,0,2.35,30,54,A,3.7,8,1
B,43,0,2.35,30,54,C,2.53,13,1
C,30,0,1.07,23,60,E,1.66,16,1
C,30,0,1.07,23,60,B,1.87,6,1
C,30,0,1.07,23,60,A,4.44,11,1
D,47,0,3.59,10,51,E,2.97,15,1
D,47,0,3.59,10,51,A,2.08,14,1
D,47,0,3.59,10,51,B,3.79,6,1
D,47,0,3.59,10,51,C,3.65,10,1
E,9,1,3.21,2,41,C,3.93,10,1
E,9,1,3.21,2,41,B,2.18,19,1
E,9,1,3.21,2,41,D,2.23,7,1
A,22,1,1.19,28,50,E,4.36,5,1
A,22,1,1.19,28,50,D,2.61,9,1
A,22,1,1.19,28,50,C,4.24,11,1
B,46,0,2.28,3,51,A,3.46,7,1
B,46,0,2.28,3,51,D,2.65,12,1
B,46,0,2.28,3,51,C,2.88,13,1
B,46,0,2.28,3,51,E,4.47,9,1
C,0,0,4.72,0,51,A,2.56,11,1
C,0,0,4.72,0,51,D,0.89,9,1
C,0,0,4.72,0,51,E,3.53,13,1
C,0,0,4.72,0,51,B,1.02,15,1
D,7,0,2.3,27,33,E,4.78,11,1
D,7,0,2.3,27,33,A,2.22,14,1
E,15,0,2.89,4,49,D,3.17,20,1
E,15,0,2.89,4,49,A,3.37,17,1
A,19,1,2.37,11,52,D,1.34,6,1
A,19,1,2.37,11,52,B,4.03,5,1
A,19,1,2.37,11,52,E,3.25,7,1
A,19,1,2.37,11,52,C,0.79,6,1
B,31,0,3.72,11,54,A,3.31,19,1
B,31,0,3.72,11,54,D,4.39,14,1
C,17,1,2.23,10,50,D,4.52,6,1
C,17,1,2.23,10,50,E,1.17,11,1
D,44,0,2.64,16,50,B,4.83,16,1
D,44,0,2.64,16,50,A,2.88,18,1
E,18,0,4.57,28,54,D,4.16,11,1
E,18,0,4.57,28,54,A,2.15,10,1
A,21,1,4.13,12,36,B,0.68,8,1
A,21,1,4.13,12,36,D,3.06,9,1
B,17,1,4.47,8,54,D,2.3,14,1
B,17,1,4.47,8,54,C,1.9,14,1
B,17,1,4.47,8,54,A,2.09,12,1
C,49,0,3.3,16,48,B,1.98,5,1
C,49,0,3.3,16,48,A,1.95,15,1
C,49,0,3.3,16,48,D,4.3,7,1
D,47,0,1.1,16,57,B,4.13,8,1
D,47,0,1.1,16,57,A,2.45,7,1
D,47,0,1.1,16,57,E,2.4,8,1
D,47,0,1.1,16,57,C,2.9,13,1
E,48,0,3.01,23,52,C,2.5,11,1
E,48,0,3.01,23,52,D,2.36,18,1
E,48,0,3.01,23,52,A,0.89,19,1
E,48,0,3.01,23,52,B,0.75,12,1
A,34,1,4.36,28,54,B,0.96,7,1
A,34,1,4.36,28,54,E,4.61,20,1
A,34,1,4.36,28,54,C,1.02,18,1
A,34,1,4.36,28,54,D,0.57,19,1
B,23,0,3.63,20,35,E,1.33,19,1
B,23,0,3.63,20,35,D,0.8,6,1
B,23,0,3.63,20,35,C,4.05,11,1
B,23,0,3.63,20,35,A,4,7,1
C,28,0,2.26,27,40,A,3.52,8,1
C,28,0,2.26,27,40,B,4.58,8,1
D,23,0,3.02,3,52,E,2.81,15,1
D,23,0,3.02,3,52,C,0.65,17,1
D,23,0,3.02,3,52,A,4.16,16,1
E,11,1,3.89,7,35,C,1.11,7,1
E,11,1,3.89,7,35,A,2.76,19,1
E,11,1,3.89,7,35,B,4.52,9,1
E,11,1,3.89,7,35,D,3.91,5,1
A,29,1,2.16,3,34,E,2.1,7,1
A,29,1,2.16,3,34,C,4.3,6,1
B,15,0,2.47,26,59,D,2.66,14,1
B,15,0,2.47,26,59,E,2.32,7,1
B,15,0,2.47,26,59,C,4.71,13,1
C,19,0,1.17,12,31,B,1.67,18,1
C,19,0,1.17,12,31,D,3.24,8,1
D,50,1,4.76,19,54,C,1.05,8,1
D,50,1,4.76,19,54,E,1.92,16,1
E,28,1,4.12,30,51,B,4.27,11,1
E,28,1,4.12,30,51,D,3.91,10,1
E,28,1,4.12,30,51,A,4.08,12,1
E,28,1,4.12,30,51,C,3.56,9,1
A,45,1,1.81,11,38,D,1.43,18,1
A,45,1,1.81,11,38,E,3.57,15,1
A,45,1,1.81,11,38,C,3.86,6,1
B,45,1,4.57,7,60,C,1.02,19,1
B,45,1,4.57,7,60,E,1.42,10,1
C,19,1,2.52,4,49,A,3.72,12,1
C,19,1,2.52,4,49,D,4.89,7,1
D,36,0,1.03,10,43,B,4.01,19,1
