day_of_week,date,hour_of_day,wait_time_minutes
Saturday,2022-01-01,9,6.1
Saturday,2022-01-01,10,17.9
Saturday,2022-01-01,11,5.0
Saturday,2022-01-01,12,5.6
Saturday,2022-01-01,13,6.5
Saturday,2022-01-01,14,12.0
Saturday,2022-01-01,15,15.1
Saturday,2022-01-01,16,19.8
Saturday,2022-01-01,17,17.7
Sunday,2022-01-02,9,5.0
Sunday,2022-01-02,10,17.0
Sunday,2022-01-02,11,8.3
Sunday,2022-01-02,12,6.8
Sunday,2022-01-02,13,11.8
Sunday,2022-01-02,14,5.0
Sunday,2022-01-02,15,8.6
Sunday,2022-01-02,16,10.0
Sunday,2022-01-02,17,19.5
Monday,2022-01-03,9,10.8
Monday,2022-01-03,10,18.7
Monday,2022-01-03,11,30.4
Monday,2022-01-03,12,11.9
Monday,2022-01-03,13,16.0
Monday,2022-01-03,14,9.1
Monday,2022-01-03,15,16.3
Monday,2022-01-03,16,9.3
Monday,2022-01-03,17,25.0
Tuesday,2022-01-04,9,34.3
Tuesday,2022-01-04,10,13.0
Tuesday,2022-01-04,11,30.9
Tuesday,2022-01-04,12,20.0
Tuesday,2022-01-04,13,14.2
Tuesday,2022-01-04,14,26.9
Tuesday,2022-01-04,15,29.8
Tuesday,2022-01-04,16,20.7
Tuesday,2022-01-04,17,11.0
Wednesday,2022-01-05,9,33.0
Wednesday,2022-01-05,10,22.3
Wednesday,2022-01-05,11,18.1
Wednesday,2022-01-05,12,18.8
Wednesday,2022-01-05,13,9.5
Wednesday,2022-01-05,14,14.4
Wednesday,2022-01-05,15,11.2
Wednesday,2022-01-05,16,8.2
Wednesday,2022-01-05,17,7.8
Thursday,2022-01-06,9,35.3
Thursday,2022-01-06,10,12.3
Thursday,2022-01-06,11,16.2
Thursday,2022-01-06,12,13.6
Thursday,2022-01-06,13,7.3
Thursday,2022-01-06,14,11.7
Thursday,2022-01-06,15,22.6
Thursday,2022-01-06,16,25.9
Thursday,2022-01-06,17,16.7
Friday,2022-01-07,9,23.3
Friday,2022-01-07,10,30.7
Friday,2022-01-07,11,13.5
Friday,2022-01-07,12,20.6
Friday,2022-01-07,13,21.5
Friday,2022-01-07,14,28.3
Friday,2022-01-07,15,6.4
Friday,2022-01-07,16,17.9
Friday,2022-01-07,17,14.2
Saturday,2022-01-08,9,19.1
Saturday,2022-01-08,10,14.3
Saturday,2022-01-08,11,19.6
Saturday,2022-01-08,12,11.4
Saturday,2022-01-08,13,16.4
Saturday,2022-01-08,14,7.7
Saturday,2022-01-08,15,12.2
Saturday,2022-01-08,16,5.5
Saturday,2022-01-08,17,12.4
Sunday,2022-01-09,9,5.0
Sunday,2022-01-09,10,20.8
Sunday,2022-01-09,11,17.0
Sunday,2022-01-09,12,5.7
Sunday,2022-01-09,13,9.7
Sunday,2022-01-09,14,10.4
Sunday,2022-01-09,15,11.3
Sunday,2022-01-09,16,21.8
Sunday,2022-01-09,17,14.4
Monday,2022-01-10,9,32.7
Monday,2022-01-10,10,24.4
Monday,2022-01-10,11,26.7
Monday,2022-01-10,12,8.4
Monday,2022-01-10,13,8.1
Monday,2022-01-10,14,10.7
Monday,2022-01-10,15,10.1
Monday,2022-01-10,16,21.7
Monday,2022-01-10,17,31.6
Tuesday,2022-01-11,9,27.4
Tuesday,2022-01-11,10,21.9
Tuesday,2022-01-11,11,8.9
Tuesday,2022-01-11,12,11.6
Tuesday,2022-01-11,13,15.3
Tuesday,2022-01-11,14,20.9
